timestamp,itemtotal,amounttotal
2019/1/1,935,706594.8
2019/1/2,783,680729.2
2019/1/3,880,679191
2019/1/4,920,703509.61
2019/1/5,838,446804.41
2019/1/6,395,339732.6
2019/1/7,169,281343.8
2019/1/8,67,50580
2019/1/9,11,33204
2019/1/10,8618,5097939.04
2019/1/11,5858,3423831
2019/1/12,2411,1815815.8
2019/1/13,11270,8096718
2019/1/14,6644,4644967
2019/1/15,6023,3653105
2019/1/16,7637,4293079
2019/1/17,20711,11644282.8
2019/1/18,19654,22556872
2019/1/19,18695,23446841
2019/1/20,11956,13800577
2019/1/21,11389,7998621
2019/1/22,4021,2576124
2019/1/23,7013,3789872
2019/1/24,3288,2598474
2019/1/25,2411,2017405.02
2019/1/26,1591,1267904
2019/1/27,1298,1098112
2019/1/28,1029,1036022
2019/1/29,4723,1342757
2019/1/30,4072,1138757
2019/1/31,915,994513
2019/2/1,807,938605
2019/2/2,618,819625
2019/2/3,692,835463
2019/2/4,668,837796
2019/2/5,643,839117
2019/2/6,692,868764
2019/2/7,680,871002
2019/2/8,799,963212
2019/2/9,715,914534
2019/2/10,789,927117
2019/2/11,863,992242
2019/2/12,926,979791
2019/2/13,1214,1161813
2019/2/14,1866,1489813
2019/2/15,2112,3083728
2019/2/16,1428,1276321
2019/2/17,1518,1236546
2019/2/18,1964,1450351
2019/2/19,1433,1328950
2019/2/20,1410,908623
2019/2/21,111,104351
2019/2/22,60,54858
2019/2/23,45,71637
2019/2/24,40,30564
2019/2/25,153,102765
2019/2/26,80,83009
2019/2/27,83,74778
2019/2/28,68,60812
2019/3/1,77,83290
2019/3/2,88,69138
2019/3/3,55,67174
2019/3/4,94,90844
2019/3/5,48,45104
2019/3/6,113,61632
2019/3/7,243,104459
2019/3/8,243,126043
2019/3/9,152,76180
2019/3/10,13493,17376724
2019/3/11,142,65663
2019/3/12,53,27102
2019/3/13,311,262046
2019/3/14,95,41515
2019/3/15,180,109352
2019/3/16,128,72498
2019/3/17,135,80120
2019/3/18,151,52744
2019/3/19,114,29619
2019/3/20,89,51014
2019/3/21,1016,650737
2019/3/22,121,71348
2019/3/23,110,65173
2019/3/24,152,113675
2019/3/25,223,85122
2019/3/26,21,25122
2019/4/7,1,468
2019/4/16,4,916
2019/4/23,56,24808
2019/4/24,156,53023.8
2019/4/25,169,34008.8
2019/4/26,108,22482.6
2019/4/27,115,31316.6
2019/4/28,76,21726
2019/4/29,50,17465
2019/4/30,115,110272
2019/5/1,61,12005
2019/5/2,79,27765
2019/5/3,77,22674
2019/5/4,114,48713
2019/5/5,49,16774
2019/5/6,115,32044
2019/5/7,163,51814
2019/5/8,104,26493
2019/5/9,104,37561
2019/5/10,161,52926
2019/5/11,108,31400.2
2019/5/12,101,31724.6
2019/5/13,56,17431.04
2019/5/14,38,10994
2019/5/15,137,37265
2019/5/16,93,30906
2019/5/17,107,29267
2019/5/18,53,15194.2
2019/5/19,81,21988
2019/5/20,78,29183.6
2019/5/21,73,19819
2019/5/22,104,48362
2019/5/23,101,56277
2019/5/24,139,60824.8
2019/5/25,121,36435.4
2019/5/26,105,37598.6
